LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE,NOTE,M_E_APPENDIXB
,,,,,42491,Current goal,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42492,farr 7 u/o,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42493,k phos. 15mm,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42494,anti-thymocyte globn,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42495,nepro with promod,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42503,Fluid in cath lab,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42504,CA GLUCONATE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42506,OR ASCITES,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42512,1000NS/1000UHEPARIN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42513,bivalirudin gtt,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42514,SOLUMEDROL DRIP.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42515,antithymocyte globin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42521,aprotinen,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42522,FOLEY FLUSH,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42526,SOLUMEDROL GTT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42527,INR BLOOD PRODUCTS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42528,crystalloid farr 5,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42529,po intake farr5,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42531,farr 5 u/o,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42534,c-scan,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42538,cell saver/or,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42548,NS Bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42554,FREE WATER INTAKE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42561,ALCOHOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42562,pos. dialysate intak,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42563,SOLUMEDROL MG/KG/HR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42564,ALCOHOL 10%DRIP G/HR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42565,TROMETHAMINE CC/HR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42566,1000D5/130NA ACETATE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42567,130meqNAACETATE/D5W,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42568,R Groin Site,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42570,OR BILE,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42573,ACETYLCYSTEINE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42574,INTERVENTIONAL RADIY,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42575,alteplase,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42576,10% ALCOHOL DRIP,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42577,ALCOHOL 5% DRIP G/HR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42580,hemovac hip,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42581,hemovac neck,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42587,VICU IVF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42588,VICU PRBC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42589,aprotanin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42590,nimbex,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42596,PENTOBARBITAL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42599,banana bag,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42606,IR CRYSTALLOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42607,"THIAME,FOLICACID,MVI",,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42608,Cisat mcg/kg/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42609,AMPHO-B,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42610,IR U/O,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42612,WATER VIA NG,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42613,gastrogavin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42614,Leg bag/serous drg,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42618,R fem drg site,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42621,L GROIN HEMOVAC,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42623,KCL 20mEq bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42628,potassium phos,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42629,CELL SAVER IN OR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42630,Antithymocyte globu,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42631,100mgm ATG/250N/S,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42638,fenoldopam,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42639,bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42640,from flow sheet,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42641,3/4st impact w/fiber,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42645,EW intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42646,HYDRALAZINE IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42647,LOPRESSOR IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42648,VASOTEC IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42654,farr 2 intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42655,METHYLPREDNISOLONE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42656,OR EPIDURAL INTAKE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42657,corlopam mcgs/kg/min,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42658,gastroview,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42660,E.R. CRYSTALLOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42661,ampho b iv,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42663,1/2ST IMPACT/FIBER,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42664,nesirtide,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42665,GOLYTELY,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42668,aprotanine,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42669,KETAMINE MG/HR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42671,free h2o,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42673,EPIDURAL,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42674,ILIAC HEMOVAC,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42675,POST NECK HEMOVAC,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42679,1/2 H2O/impact fiber,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42680,Tham infusion,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42689,METHYLPREDNISONE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42691,kphos,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42692,Angio,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42693,20 GM CAGLUC/1L D5W,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42697,Alcohol Gm/hour,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42698,NS W/ 40 KCL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42699,GU IRRIGANT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42702,ns with 40kcl,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42704,corlopam,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42705,FENOLDOPAM,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42706,k phos over 6hrs.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42707,d5w w 10% etoh,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42708,ms04 pca,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42709,ALCOHOL GTT ML/HR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42710,PHERESIS EBL,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42711,OR OTHER,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42713,carevue downtime,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42714,while carevue down,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42715,CRYSTAL IN/DAY SHIFT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42716,angio site,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42721,40kcl in 500ns,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42722,ALCOHOL 10% DRIP,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42723,cryo,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42724,40kcl in 500cc ns,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42725,NS W/ 40MEQ KCL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42728,POTASSIUM,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42729,GI IVF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42730,15 mmol K phos/250cc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42731,Dextran40 10%,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42732,Fenoldopam,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42734,APROTININE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42735,Intra-abd. Pressure,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42736,D5W/154MEQ NAACETATE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42737,NA PHOS 30MMOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42739,er crystilliods,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42740,prbc in er,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42742,1/2 NS WITH 40 KCL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42743,MANNITOL 20%,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42745,Pigtail irrigant,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42749,fluid bolus NS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42755,atg,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42756,anti-thomocyte glob.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42757,anti-thomcyte glob.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42758,open chest suction,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42762,FARR 6 IN IVF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42763,PORK INSULIN GTT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42764,PLAMA-LYTE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42768,R groin bag,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42769,Rectal Irrigation,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42770,Floor intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42771,lepirudim,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42777,10% ALCOHOL IN 5% D5,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42778,HYDROCHLORIC ACID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42779,HCL 75 meq/500ml,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42782,Epidural,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42783,Prostaglandin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42784,cell saver OR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42785,OR CRYO,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42786,WD. DRGE,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42790,ns w/ 40meq kcl,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42791,Pheresis - In,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42792,nepro (1/2) & promod,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42793,contrast po,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42797,20Gm CaGluc/1000ccNS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42799,K+ phosphate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42801,cell saver in or,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42802,VASOPRESSIN  CC/HR.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42804,ETOH Grams/hour,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42805,multivitamins,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42811,Aprotinin cc/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42812,betadine chest irrig,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42813,CYCLOSPORIN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42814,3/4 str Impact w/fib,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42815,PERITONEAL FLUID,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42820,ed crystalloid,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42821,aprotinine,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42825,farr2,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42826,10mEqK/100cc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42827,D5W/20GM CA GLU,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42830,OR CELL SAVER,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42831,1/2st impact fiber,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42832,albumin 12.5%,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42833,1/2 STR.CRITICARE HN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42836,ANGIO IVF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42839,other,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42841,vp shunt,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42844,NS fluid bolus,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42845,Angio In,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42848,sodium bicarb,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42849,hemovac,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42855,ETOH GTT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42856,CALCIUM GLUGOANTE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42857,SODIUM BICARBOANTE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42858,FLOOR CRYSTALLOIDS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42862,Fendolapam,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42864,ER CRYSTALLOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42865,Lepriudin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42866,cell saver in OR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42875,cc6 ivf,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42876,ER CRYSTALLOIDS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42878,IR IN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42879,Pre adm-Floor IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42886,NS CT IRRIGATION,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42887,Travasol,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42888,D5W 10%ALCOHOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42894,iv contrast,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42895,MANNITOL 20 %.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42896,NS 150MEQ SOD BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42897,D5W 300MEQ BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42898,D5W 20GMS CA GLUC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42899,FLUCONAZOLE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42900,L FEM,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42901,Right brachial site,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42902,right femerol,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42908,NS W/ 20 GM CAGLUC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42913,angio,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42914,Total IV,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42915,D5W/10GM CAGLUC,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42916,calcium gluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42917,D5W/CAGLU 40GMS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42920,EW FLUID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42921,d5 .225 with 20meq l,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42923,Integrellin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42924,IR CRYST.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42925,L CT SITE,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42927,AMPHO B,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42931,HD in,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42932,10% alcohol,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42933,XYGRIS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42935,CT # 6 & # 2 RT,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42938,IR INTAKE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42939,1/4ns w 100meqnahco3,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42940,co injectate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42941,I.R. EBL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42942,I.R. intake,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42944,dextran,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42947,ER in,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42948,CONTRAST VIA NG/FT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42949,duodenal,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42954,Angio IN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42955,PLASMAKYTE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42956,mucus stoma,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42959,FS PROBALANCE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42965,xigris mcg/kg/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42967,Nicardipine (mg/h),,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42971,saturated chux pad,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,42975,DEXTRAN DRIP,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42976,CATH LAB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42978,D5LR 20KCL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42979,NS w/30mmol Kphos,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42980,D5 1/4 SODIUM BICARB,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42981,Bladder transd.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42985,Pamidronate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42989,DILAUDID/BUPIV.,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42990,BUPIVACAINE .50%,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42993,10 mea KCL/100cc NS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42994,K PHOS 15 MMOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42995,F6 IV MEDS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42996,F6 PO INTAKE,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42998,alcohol gtt,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,42999,Sodium Bicarb,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43002,F6 U/O,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,43007,MultiVitamin,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43008,cryo or,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43009,ffp pacu,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43010,packed cells pacu,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43013,ANTI-THYMOCYTEN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43014,ER NS BOLUSES,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43017,NET PD,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,43018,magnesium 1gm/hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43020,TPA 50mg/250cc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43021,TPA 50mg/250cc #2,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43023,probalance 15gm prom,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43031,steril water,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43032,40 kcl in 500ns,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43033,CALSTAT,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43036,na phosp 15 mmol,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43037,nicardipine HCL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43038,Noe gtt 60mg/250cc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43039,ca gluc gtt,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43041,FA6 IVF,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43044,BYPASS REMOVAL,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,43047,BUMEX 12mg/500ml,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43049,FLOOR IN,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43050,ca glu 40gm/1L,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43051,L. GROIN PUNCTURE,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,43055,FARR 6 COLLOID,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43056,NA PHOS 15MMOL,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43059,Direct suction,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,43061,40Gm CaGluc/1000ccNS,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43062,D5W w/ 40gms cagluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43063,NS w/40gms CaGluc,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43070,Ca++ Gluconate,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43073,NaPO4,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43076,h2o flush q 8hr,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43077,L. GROIN,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,43080,NS w/30mmol NaPhos,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43081,QUICKMIX,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43083,g-t residual,,inputevents_cv,0,,,,,carevue,,,,0
,,,,,43086,Nicardipine gtt,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43087,3/4 RESPALOR,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43088,1/2str impact/fiber,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
,,,,,43089,ns w/ 40 meq kcl,,inputevents_cv,0,Free Form Intake,,,,carevue,,,,0
